"id","date","date_value"
"asc_3b1418","2017-01-04","0.5213823"
"asc_3b1418","2017-01-10","-3.053752"
"asc_3b1418","2017-01-16","3.146399"
"asc_3b1418","2017-01-22","7.207661"
"asc_3b1418","2017-01-28","3.604095"
"asc_3b1418","2017-02-03","3.198879"
"asc_3b1418","2017-02-09","3.661116"
"asc_3b1418","2017-02-15","-1.060906"
"asc_3b1418","2017-02-21","7.14923"
"asc_3b1418","2017-02-27","1.785636"
"asc_3b1418","2017-03-05","0.1079006"
"asc_3b1418","2017-03-11","0.185634"
"asc_3b1418","2017-03-17","6.555912"
"asc_3b1418","2017-03-23","7.061994"
"asc_3b1418","2017-03-29","7.125843"
"asc_3b1418","2017-04-04","-2.369883"
"asc_3b1418","2017-04-10","2.47065"
"asc_3b1418","2017-04-16","4.919"
"asc_3b1418","2017-04-22","5.32643"
"asc_3b1418","2017-04-28","4.638791"
"asc_3b1418","2017-05-04","1.443946"
"asc_3b1418","2017-05-10","-0.03768814"
"asc_3b1418","2017-05-16","0.2934648"
"asc_3b1418","2017-05-22","1.664771"
"asc_3b1418","2017-06-03","6.838923"
"asc_3b1418","2017-06-15","2.242405"
"asc_3b1418","2017-06-27","1.688135"
"asc_3b1418","2017-07-09","6.636814"
"asc_3b1418","2017-07-21","1.02292"
"asc_3b1418","2017-08-02","-3.698358"
"asc_3b1418","2017-08-14","-8.777887"
"asc_3b1418","2017-08-26","-2.036907"
"asc_3b1418","2017-09-07","1.775792"
"asc_3b1418","2017-09-19","6.292067"
"asc_3b1418","2017-10-13","-1.156608"
"asc_3b1418","2017-10-25","0.5751371"
"asc_3b1418","2017-11-06","-3.265912"
"asc_3b1418","2017-11-18","2.386305"
"asc_3b1418","2017-11-30","3.200827"
"asc_3b1418","2017-12-12","3.26203"
"asc_3b1418","2017-12-24","0.1623868"
"asc_3b1418","2018-01-05","2.639636"
"asc_3b1418","2018-01-17","-0.1382225"
"asc_3b1418","2018-01-29","5.3781"
"asc_3b1418","2018-02-10","-0.2164879"
"asc_3b1418","2018-02-22","-3.786568"
"asc_3b1418","2018-03-18","6.617376"
"asc_3b1418","2018-03-30","-0.2576211"
"asc_3d216d","2016-12-05","2.347442"
"asc_3d216d","2016-12-11","5.797894"
"asc_3d216d","2016-12-17","4.876916"
"asc_3d216d","2016-12-23","0.1170175"
"asc_3d216d","2016-12-29","3.792363"
"asc_3d216d","2017-01-04","1.675368"
"asc_3d216d","2017-01-10","-1.033907"
"asc_3d216d","2017-01-16","0.4444644"
"asc_3d216d","2017-01-22","2.185884"
"asc_3d216d","2017-01-28","6.31962"
"asc_3d216d","2017-02-03","2.009388"
